Los puntos dibujados son:
(5, 5) 
 (6, 5) 
 (7, 6) 
 (8, 6) 
 (9, 6) 
 (10, 7) 
 (11, 7) 
 (12, 7) 
 (13, 8) 
 (14, 8) 
 (15, 8) 
 (16, 9) 
 (17, 9) 
 (18, 9) 
 (19, 10) 
 (20, 10) 
 (21, 10) 
 (22, 10) 
 (23, 11) 
 (24, 11) 
 (25, 11) 
 (26, 12) 
 (27, 12) 
 (28, 12) 
 (29, 13) 
 (30, 13) 
 (31, 13) 
 (32, 14) 
 (33, 14) 
 (34, 14) 
 (35, 15) 
 (36, 15) 
 (37, 15) 
 (38, 16) 
 (39, 16) 
 (40, 16) 
 (41, 17) 
 (42, 17) 
 (43, 17) 
 (44, 18) 
 (45, 18) 
 (46, 18) 
 (47, 19) 
 (48, 19) 
 (49, 19) 
 (50, 19) 
 (51, 20) 
 (52, 20) 
 (53, 20) 
 (54, 21) 
 (55, 21) 
 (56, 21) 
 (57, 22) 
 (58, 22) 
 (59, 22) 
 (60, 23) 
 (61, 23) 
 (62, 23) 
 (63, 24) 
 (64, 24) 
 (65, 24) 
 (66, 25) 
 (67, 25) 
 (68, 25) 
 (69, 26) 
 (70, 26) 
 (71, 26) 
 (72, 27) 
 (73, 27) 
 (74, 27) 
 (75, 28) 
 (76, 28) 
 (77, 28) 
 (78, 29) 
 (79, 29) 
 (80, 29) 
 (81, 29) 
 (82, 30) 
 (83, 30) 
 (84, 30) 
 (85, 31) 
 (86, 31) 
 (87, 31) 
 (88, 32) 
 (89, 32) 
 (90, 32) 
 (91, 33) 
 (92, 33) 
 (93, 33) 
 (94, 34) 
 (95, 34) 
 (96, 34) 
 (97, 35) 
 (98, 35) 
 (99, 35) 
 (100, 36) 
 (101, 36) 
 (102, 36) 
 (103, 37) 
 (104, 37) 
 (105, 37) 
 (106, 38) 
 (107, 38) 
 (108, 38) 
 (109, 38) 
 (110, 39) 
 (111, 39) 
 (112, 39) 
 (113, 40) 
 (114, 40) 
 (115, 40) 
 (116, 41) 
 (117, 41) 
 (118, 41) 
 (119, 42) 
 (120, 42) 
 (121, 42) 
 (122, 43) 
 (123, 43) 
 (124, 43) 
 (125, 44) 
 (126, 44) 
 (127, 44) 
 (128, 45) 
 (129, 45) 
 (130, 45) 
 (131, 46) 
 (132, 46) 
 (133, 46) 
 (134, 47) 
 (135, 47) 
 (136, 47) 
 (137, 48) 
 (138, 48) 
 (139, 48) 
 (140, 48) 
 (141, 49) 
 (142, 49) 
 (143, 49) 
 (144, 50) 
 (145, 50) 
 (146, 50) 
 (147, 51) 
 (148, 51) 
 (149, 51) 
 (150, 52) 
 (151, 52) 
 (152, 52) 
 (153, 53) 
 (154, 53) 
 (155, 53) 
 (156, 54) 
 (157, 54) 
 (158, 54) 
 (159, 55) 
 (160, 55) 
 (161, 55) 
 (162, 56) 
 (163, 56) 
 (164, 56) 
 (165, 57) 
 (166, 57) 
 (167, 57) 
 (168, 57) 
 (169, 58) 
 (170, 58) 
 (171, 58) 
 (172, 59) 
 (173, 59) 
 (174, 59) 
 (175, 60) 
 (176, 60) 
 (177, 60) 
 (178, 61) 
 (179, 61) 
 (180, 61) 
 (181, 62) 
 (182, 62) 
 (183, 62) 
 (184, 63) 
 (185, 63) 
 (186, 63) 
 (187, 64) 
 (188, 64) 
 (189, 64) 
 (190, 65) 
 (191, 65) 
 (192, 65) 
 (193, 66) 
 (194, 66) 
 (195, 66) 
 (196, 67) 
 (197, 67) 
 (198, 67) 
 (199, 67) 
 (200, 68) 
 (201, 68) 
 (202, 68) 
 (203, 69) 
 (204, 69) 
 (205, 69) 
 (206, 70) 
 (207, 70) 
 (208, 70) 
 (209, 71) 
 (210, 71) 
 (211, 71) 
 (212, 72) 
 (213, 72) 
 (214, 72) 
 (215, 73) 
 (216, 73) 
 (217, 73) 
 (218, 74) 
 (219, 74) 
 (220, 74) 
 (221, 75) 
 (222, 75) 
 (223, 75) 
 (224, 76) 
 (225, 76) 
 (226, 76) 
 (227, 76) 
 (228, 77) 
 (229, 77) 
 (230, 77) 
 (231, 78) 
 (232, 78) 
 (233, 78) 
 (234, 79) 
 (235, 79) 
 (236, 79) 
 (237, 80) 
 (238, 80) 
 (239, 80) 
 (240, 81) 
 (241, 81) 
 (242, 81) 
 (243, 82) 
 (244, 82) 
 (245, 82) 
 (246, 83) 
 (247, 83) 
 (248, 83) 
 (249, 84) 
 (250, 84) 
 (251, 84) 
 (252, 85) 
 (253, 85) 
 (254, 85) 
 (255, 86) 
 (256, 86) 
 (257, 86) 
 (258, 86) 
 (259, 87) 
 (260, 87) 
 (261, 87) 
 (262, 88) 
 (263, 88) 
 (264, 88) 
 (265, 89) 
 (266, 89) 
 (267, 89) 
 (268, 90) 
 (269, 90) 
 (270, 90) 
 (271, 91) 
 (272, 91) 
 (273, 91) 
 (274, 92) 
 (275, 92) 
 (276, 92) 
 (277, 93) 
 (278, 93) 
 (279, 93) 
 (280, 94) 
 (281, 94) 
 (282, 94) 
 (283, 95) 
 (284, 95) 
 (285, 95) 
 (286, 95) 
 (287, 96) 
 (288, 96) 
 (289, 96) 
 (290, 97) 
 (291, 97) 
 (292, 97) 
 (293, 98) 
 (294, 98) 
 (295, 98) 
 (296, 99) 
 (297, 99) 
 (298, 99) 
 (299, 100) 
 (300, 100) 
 
